F0,F1,F2,F3,F4,F5,Label,Prediction
4.734,0.733,3.906,3.497,-2.729,1.956,0,0
-2.411,4.734,0.733,3.906,3.497,1.585,1,1
2.23,-2.411,4.734,0.733,3.906,1.78039,1,1
0.59,2.23,-2.411,4.734,0.733,1.4231,1,1
1.733,0.59,2.23,-2.411,4.734,1.447,0,1
-1.063,1.733,0.59,2.23,-2.411,1.5492,1,1
0.672,-1.063,1.733,0.59,2.23,1.5939,0,1
-1.522,0.672,-1.063,1.733,0.59,1.70057,1,1
1.717,-1.522,0.672,-1.063,1.733,1.3404,0,1
-0.827,1.717,-1.522,0.672,-1.063,1.3826,0,1
-0.908,-0.827,1.717,-1.522,0.672,1.5297,1,1
0.97,-0.908,-0.827,1.717,-1.522,1.4223,0,1
-0.556,0.97,-0.908,-0.827,1.717,1.6413,1,1
1.716,-0.556,0.97,-0.908,-0.827,1.4504,1,0
0.82,1.716,-0.556,0.97,-0.908,1.6459,1,0
0.775,0.82,1.716,-0.556,0.97,1.3541,1,1
0.914,0.775,0.82,1.716,-0.556,1.674,0,1
-2.285,0.914,0.775,0.82,1.716,1.4669,0,1
-0.876,-2.285,0.914,0.775,0.82,1.4465,0,1
-2.073,-0.876,-2.285,0.914,0.775,1.113,1,1
0.772,-2.073,-0.876,-2.285,0.914,1.3771,0,1
-0.048,0.772,-2.073,-0.876,-2.285,1.4634,1,0
2.463,-0.048,0.772,-2.073,-0.876,1.519,1,0
0.615,2.463,-0.048,0.772,-2.073,1.4001,0,0
-1.041,0.615,2.463,-0.048,0.772,1.2826,0,1
-0.402,-1.041,0.615,2.463,-0.048,1.3374,1,1
1.941,-0.402,-1.041,0.615,2.463,1.5173,1,1
2.145,1.941,-0.402,-1.041,0.615,2.4151,0,0
-0.344,2.145,1.941,-0.402,-1.041,1.6268,1,1
0.249,-0.344,2.145,1.941,-0.402,1.574,0,1
-2.097,0.249,-0.344,2.145,1.941,1.5436,1,1
2.799,-2.097,0.249,-0.344,2.145,1.3503,0,1
-0.273,2.799,-2.097,0.249,-0.344,0.64346,0,1
-0.19,-0.273,2.799,-2.097,0.249,1.612,0,1
-1.475,-0.19,-0.273,2.799,-2.097,1.4884,0,1
-0.344,-1.475,-0.19,-0.273,2.799,1.5889,0,1
-1.202,-0.344,-1.475,-0.19,-0.273,1.2502,1,1
0.627,-1.202,-0.344,-1.475,-0.19,1.2411,0,1
-2.218,0.627,-1.202,-0.344,-1.475,1.3208,1,1
1.396,-2.218,0.627,-1.202,-0.344,1.2866,1,1
0.056,1.396,-2.218,0.627,-1.202,1.2851,0,0
-0.373,0.056,1.396,-2.218,0.627,1.2553,0,1
-1.342,-0.373,0.056,1.396,-2.218,1.3308,1,1
2.352,-1.342,-0.373,0.056,1.396,1.2716,0,1
-0.814,2.352,-1.342,-0.373,0.056,1.2518,0,1
-1.315,-0.814,2.352,-1.342,-0.373,1.4462,0,1
-0.771,-1.315,-0.814,2.352,-1.342,1.3859,1,1
1.302,-0.771,-1.315,-0.814,2.352,1.78273,1,1
0.181,1.302,-0.771,-1.315,-0.814,1.1121,0,1
-0.547,0.181,1.302,-0.771,-1.315,0.45831,0,1
-0.315,-0.547,0.181,1.302,-0.771,0.7211,0,1
-1.603,-0.315,-0.547,0.181,1.302,0.7584,1,1
0.456,-1.603,-0.315,-0.547,0.181,1.0578,1,1
0.049,0.456,-1.603,-0.315,-0.547,1.0885,1,1
3.32,0.049,0.456,-1.603,-0.315,1.2292,0,0
-0.048,3.32,0.049,0.456,-1.603,1.1308,1,0
2.247,-0.048,3.32,0.049,0.456,1.4359,0,1
-0.654,2.247,-0.048,3.32,0.049,1.5452,0,1
-1.409,-0.654,2.247,-0.048,3.32,1.4676,1,1
1.939,-1.409,-0.654,2.247,-0.048,1.5603,1,1
0,1.939,-1.409,-0.654,2.247,1.4854,0,1
-0.141,0,1.939,-1.409,-0.654,1.3963,1,1
0.583,-0.141,0,1.939,-1.409,1.3794,0,1
-1.443,0.583,-0.141,0,1.939,1.4321,0,1
-0.394,-1.443,0.583,-0.141,0,1.5346,0,1
-1.402,-0.394,-1.443,0.583,-0.141,1.3582,0,1
-1.57,-1.402,-0.394,-1.443,0.583,1.3352,0,1
-1.043,-1.57,-1.402,-0.394,-1.443,1.5608,1,1
1.022,-1.043,-1.57,-1.402,-0.394,1.74455,0,0
-2.923,1.022,-1.043,-1.57,-1.402,1.5748,0,1
-1.616,-2.923,1.022,-1.043,-1.57,1.4359,1,1
1.305,-1.616,-2.923,1.022,-1.043,1.4591,1,1
0.678,1.305,-1.616,-2.923,1.022,1.5954,0,0
-2.285,0.678,1.305,-1.616,-2.923,1.5103,1,1
1.313,-2.285,0.678,1.305,-1.616,1.57853,1,1
0.54,1.313,-2.285,0.678,1.305,1.2585,0,1
-1.409,0.54,1.313,-2.285,0.678,1.4516,0,1
-0.544,-1.409,0.54,1.313,-2.285,1.4508,0,1
-0.645,-0.544,-1.409,0.54,1.313,1.4309,0,1
-1.009,-0.645,-0.544,-1.409,0.54,1.2768,1,1
0.757,-1.009,-0.645,-0.544,-1.409,1.2382,0,1
-0.81,0.757,-1.009,-0.645,-0.544,1.307,0,1
-1.269,-0.81,0.757,-1.009,-0.645,1.2605,0,1
-0.16,-1.269,-0.81,0.757,-1.009,1.4893,1,1
2.143,-0.16,-1.269,-0.81,0.757,1.4046,1,0
1.95,2.143,-0.16,-1.269,-0.81,1.2508,0,0
-0.71,1.95,2.143,-0.16,-1.269,1.0756,0,1
-0.95,-0.71,1.95,2.143,-0.16,1.1941,1,1
1.322,-0.95,-0.71,1.95,2.143,1.3982,0,1
-1.838,1.322,-0.95,-0.71,1.95,1.2292,1,1
0.719,-1.838,1.322,-0.95,-0.71,1.4837,0,1
-1.314,0.719,-1.838,1.322,-0.95,1.3744,1,1
1.176,-1.314,0.719,-1.838,1.322,1.2878,1,1
0.462,1.176,-1.314,0.719,-1.838,1.3733,0,0
-0.754,0.462,1.176,-1.314,0.719,1.2089,0,1
-1.536,-0.754,0.462,1.176,-1.314,1.2566,1,1
0.956,-1.536,-0.754,0.462,1.176,1.3327,0,1
-0.934,0.956,-1.536,-0.754,0.462,1.2992,1,1
0.826,-0.934,0.956,-1.536,-0.754,1.3685,0,1
-2.583,0.826,-0.934,0.956,-1.536,1.255,0,1
-0.836,-2.583,0.826,-0.934,0.956,1.4277,1,1
0.432,-0.836,-2.583,0.826,-0.934,1.62,1,1
3.446,0.432,-0.836,-2.583,0.826,1.8163,1,0
0.165,3.446,0.432,-0.836,-2.583,1.5419,1,0
3.543,0.165,3.446,0.432,-0.836,1.70042,1,0
0.424,3.543,0.165,3.446,0.432,1.5551,1,0
0.874,0.424,3.543,0.165,3.446,1.4734,1,1
0.189,0.874,0.424,3.543,0.165,1.4391,1,1
2.298,0.189,0.874,0.424,3.543,1.88371,0,0
-3.523,2.298,0.189,0.874,0.424,1.293,1,1
1.216,-3.523,2.298,0.189,0.874,1.3334,0,1
-0.548,1.216,-3.523,2.298,0.189,1.3197,0,1
-0.164,-0.548,1.216,-3.523,2.298,1.2329,0,1
-0.578,-0.164,-0.548,1.216,-3.523,1.227,0,1
-1.774,-0.578,-0.164,-0.548,1.216,1.4955,1,1
1.214,-1.774,-0.578,-0.164,-0.548,1.4616,1,1
2.612,1.214,-1.774,-0.578,-0.164,1.5898,0,0
-0.505,2.612,1.214,-1.774,-0.578,1.3395,1,1
0.274,-0.505,2.612,1.214,-1.774,1.2412,1,1
0.123,0.274,-0.505,2.612,1.214,1.494,0,1
-0.186,0.123,0.274,-0.505,2.612,1.2354,0,1
-1.4,-0.186,0.123,0.274,-0.505,1.2937,1,1
0.646,-1.4,-0.186,0.123,0.274,1.2753,0,1
-0.376,0.646,-1.4,-0.186,0.123,1.1416,1,1
1.95,-0.376,0.646,-1.4,-0.186,1.131,1,0
0.63,1.95,-0.376,0.646,-1.4,1.4602,0,0
-1.224,0.63,1.95,-0.376,0.646,1.5876,1,1
1.554,-1.224,0.63,1.95,-0.376,1.4306,0,1
-0.176,1.554,-1.224,0.63,1.95,1.1187,1,1
2.17,-0.176,1.554,-1.224,0.63,1.6312,1,0
0.839,2.17,-0.176,1.554,-1.224,1.6672,0,0
-0.826,0.839,2.17,-0.176,1.554,1.6481,0,1
-1.385,-0.826,0.839,2.17,-0.176,1.3358,1,1
1.783,-1.385,-0.826,0.839,2.17,1.273,1,1
0.328,1.783,-1.385,-0.826,0.839,1.5256,0,0
-0.1,0.328,1.783,-1.385,-0.826,1.78851,0,1
-0.068,-0.1,0.328,1.783,-1.385,1.3975,1,1
1.504,-0.068,-0.1,0.328,1.783,1.5543,0,1
-0.38,1.504,-0.068,-0.1,0.328,1.4463,1,1
0.846,-0.38,1.504,-0.068,-0.1,1.6496,0,1
-0.51,0.846,-0.38,1.504,-0.068,1.5319,0,1
-1.006,-0.51,0.846,-0.38,1.504,1.3796,1,1
1.428,-1.006,-0.51,0.846,-0.38,1.3261,1,1
1.253,1.428,-1.006,-0.51,0.846,1.3788,0,0
-0.297,1.253,1.428,-1.006,-0.51,1.4181,0,1
-0.32,-0.297,1.253,1.428,-1.006,1.4018,1,1
0.787,-0.32,-0.297,1.253,1.428,1.5087,0,1
-0.25,0.787,-0.32,-0.297,1.253,1.5055,0,1
-2.492,-0.25,0.787,-0.32,-0.297,1.3757,0,1
-0.113,-2.492,-0.25,0.787,-0.32,1.5053,1,1
0.401,-0.113,-2.492,-0.25,0.787,1.4578,1,1
0.915,0.401,-0.113,-2.492,-0.25,1.4485,1,0
0.145,0.915,0.401,-0.113,-2.492,1.201,1,1
1.957,0.145,0.915,0.401,-0.113,1.532,1,0
0.183,1.957,0.145,0.915,0.401,1.559,0,1
-0.376,0.183,1.957,0.145,0.915,1.6858,1,1
1.469,-0.376,0.183,1.957,0.145,1.6888,1,1
0.354,1.469,-0.376,0.183,1.957,1.6625,1,1
0.472,0.354,1.469,-0.376,0.183,1.4502,1,1
1.511,0.472,0.354,1.469,-0.376,1.6187,1,0
0.395,1.511,0.472,0.354,1.469,1.6931,0,1
-0.24,0.395,1.511,0.472,0.354,1.8372,0,1
-1.198,-0.24,0.395,1.511,0.472,1.307,1,1
0.913,-1.198,-0.24,0.395,1.511,1.2754,1,1
1.283,0.913,-1.198,-0.24,0.395,1.52,1,0
0.103,1.283,0.913,-1.198,-0.24,1.5531,0,1
-0.991,0.103,1.283,0.913,-1.198,1.2716,1,1
2.238,-0.991,0.103,1.283,0.913,1.3459,1,1
0.091,2.238,-0.991,0.103,1.283,1.4797,0,1
-0.155,0.091,2.238,-0.991,0.103,1.4889,0,1
-1.524,-0.155,0.091,2.238,-0.991,1.5301,1,1
0.1,-1.524,-0.155,0.091,2.238,1.698,0,1
-1.411,0.1,-1.524,-0.155,0.091,1.3981,1,1
0.184,-1.411,0.1,-1.524,-0.155,1.3883,0,1
-0.827,0.184,-1.411,0.1,-1.524,1.4592,1,1
1.077,-0.827,0.184,-1.411,0.1,1.3874,0,1
-0.974,1.077,-0.827,0.184,-1.411,1.2678,0,1
-0.176,-0.974,1.077,-0.827,0.184,1.5872,1,1
0.802,-0.176,-0.974,1.077,-0.827,1.4602,1,1
1.164,0.802,-0.176,-0.974,1.077,1.5193,0,0
-0.81,1.164,0.802,-0.176,-0.974,0.7759,1,1
1.899,-0.81,1.164,0.802,-0.176,1.4291,1,1
0.34,1.899,-0.81,1.164,0.802,1.5657,0,1
-0.559,0.34,1.899,-0.81,1.164,1.618,0,1
-1.348,-0.559,0.34,1.899,-0.81,1.4657,1,1
0.955,-1.348,-0.559,0.34,1.899,1.2127,1,1
0.573,0.955,-1.348,-0.559,0.34,1.4489,0,0
-0.343,0.573,0.955,-1.348,-0.559,1.5186,0,1
-0.633,-0.343,0.573,0.955,-1.348,1.662,0,1
-1.243,-0.633,-0.343,0.573,0.955,1.6614,1,1
1.181,-1.243,-0.633,-0.343,0.573,1.3652,0,1
-1.462,1.181,-1.243,-0.633,-0.343,1.2542,1,1
0.951,-1.462,1.181,-1.243,-0.633,1.4397,1,1
0.051,0.951,-1.462,1.181,-1.243,1.3627,0,1
-0.709,0.051,0.951,-1.462,1.181,1.559,1,1
1.74,-0.709,0.051,0.951,-1.462,1.3975,0,0
-0.216,1.74,-0.709,0.051,0.951,1.3286,0,1
-0.727,-0.216,1.74,-0.709,0.051,1.5089,0,1
-0.181,-0.727,-0.216,1.74,-0.709,1.3919,1,1
0.286,-0.181,-0.727,-0.216,1.74,1.608,0,1
-1.026,0.286,-0.181,-0.727,-0.216,1.3906,1,1
0.272,-1.026,0.286,-0.181,-0.727,1.3187,0,1
-1.766,0.272,-1.026,0.286,-0.181,1.3517,1,1
0.168,-1.766,0.272,-1.026,0.286,1.491,1,1
0.728,0.168,-1.766,0.272,-1.026,1.3893,1,1
0.356,0.728,0.168,-1.766,0.272,1.0866,1,1
0.307,0.356,0.728,0.168,-1.766,1.0222,1,1
0.995,0.307,0.356,0.728,0.168,1.1323,0,1
-0.638,0.995,0.307,0.356,0.728,1.2088,1,1
0.659,-0.638,0.995,0.307,0.356,1.1868,1,1
0.016,0.659,-0.638,0.995,0.307,0.63637,1,1
0.916,0.016,0.659,-0.638,0.995,1.1276,1,1
0.261,0.916,0.016,0.659,-0.638,1.3006,0,1
-0.205,0.261,0.916,0.016,0.659,1.2108,1,1
0.297,-0.205,0.261,0.916,0.016,1.4071,0,1
-1.018,0.297,-0.205,0.261,0.916,1.3089,1,1
0.065,-1.018,0.297,-0.205,0.261,0.9717,1,1
0.304,0.065,-1.018,0.297,-0.205,1.1787,1,1
0.006,0.304,0.065,-1.018,0.297,1.0514,1,1
0.607,0.006,0.304,0.065,-1.018,1.1652,1,1
0.516,0.607,0.006,0.304,0.065,0.9451,1,1
1.387,0.516,0.607,0.006,0.304,1.4705,1,0
0.419,1.387,0.516,0.607,0.006,1.6756,1,1
0.166,0.419,1.387,0.516,0.607,1.4539,0,1
-0.64,0.166,0.419,1.387,0.516,1.4652,1,1
1.004,-0.64,0.166,0.419,1.387,1.2993,0,1
-0.821,1.004,-0.64,0.166,0.419,1.4148,0,1
-1.197,-0.821,1.004,-0.64,0.166,1.5821,1,1
0.544,-1.197,-0.821,1.004,-0.64,1.3359,1,1
0.217,0.544,-1.197,-0.821,1.004,1.2367,0,1
-0.375,0.217,0.544,-1.197,-0.821,1.1513,1,1
1.43,-0.375,0.217,0.544,-1.197,1.4032,0,1
-0.325,1.43,-0.375,0.217,0.544,1.33821,1,1
1.327,-0.325,1.43,-0.375,0.217,1.4988,0,1
-0.316,1.327,-0.325,1.43,-0.375,1.5186,0,1
-1.301,-0.316,1.327,-0.325,1.43,1.2788,1,1
0.607,-1.301,-0.316,1.327,-0.325,1.3017,0,1
-1.91,0.607,-1.301,-0.316,1.327,1.556,0,1
-0.605,-1.91,0.607,-1.301,-0.316,1.53,0,1
-0.64,-0.605,-1.91,0.607,-1.301,1.4725,1,1
0.976,-0.64,-0.605,-1.91,0.607,1.3665,0,1
-1.054,0.976,-0.64,-0.605,-1.91,1.5905,1,1
2.234,-1.054,0.976,-0.64,-0.605,1.5663,1,0
0.198,2.234,-1.054,0.976,-0.64,1.2693,1,0
0.942,0.198,2.234,-1.054,0.976,1.5705,1,1
0.437,0.942,0.198,2.234,-1.054,1.0258,1,1
0.474,0.437,0.942,0.198,2.234,1.2795,0,1
-0.526,0.474,0.437,0.942,0.198,1.2625,1,1
0.479,-0.526,0.474,0.437,0.942,1.5787,0,1
-0.065,0.479,-0.526,0.474,0.437,1.1081,1,1
0.702,-0.065,0.479,-0.526,0.474,1.0405,1,1
0.395,0.702,-0.065,0.479,-0.526,1.2719,0,1
-0.259,0.395,0.702,-0.065,0.479,1.5211,1,1
0.316,-0.259,0.395,0.702,-0.065,1.4177,0,1
-1.024,0.316,-0.259,0.395,0.702,1.352,1,1
0.516,-1.024,0.316,-0.259,0.395,1.1726,1,1
0.129,0.516,-1.024,0.316,-0.259,1.498,0,1
-1.498,0.129,0.516,-1.024,0.316,1.6472,1,1
0.331,-1.498,0.129,0.516,-1.024,1.6043,0,1
-0.47,0.331,-1.498,0.129,0.516,1.4203,1,1
0.216,-0.47,0.331,-1.498,0.129,1.3718,1,1
1.519,0.216,-0.47,0.331,-1.498,1.6292,1,0
0.126,1.519,0.216,-0.47,0.331,1.5626,0,1
-0.112,0.126,1.519,0.216,-0.47,1.6297,1,1
0.36,-0.112,0.126,1.519,0.216,1.4989,1,1
0.791,0.36,-0.112,0.126,1.519,1.3782,0,1
-0.545,0.791,0.36,-0.112,0.126,1.4176,0,1
-0.137,-0.545,0.791,0.36,-0.112,1.4018,1,1
0.593,-0.137,-0.545,0.791,0.36,1.4539,0,1
-0.457,0.593,-0.137,-0.545,0.791,1.4405,0,1
-0.579,-0.457,0.593,-0.137,-0.545,1.2436,0,1
-0.052,-0.579,-0.457,0.593,-0.137,1.1625,1,1
1.143,-0.052,-0.579,-0.457,0.593,1.3493,0,1
-0.011,1.143,-0.052,-0.579,-0.457,1.383,0,1
-0.762,-0.011,1.143,-0.052,-0.579,1.3561,0,1
-0.64,-0.762,-0.011,1.143,-0.052,1.3743,0,1
-0.908,-0.64,-0.762,-0.011,1.143,1.3543,1,1
0.802,-0.908,-0.64,-0.762,-0.011,1.3262,0,1
-0.843,0.802,-0.908,-0.64,-0.762,1.3267,1,1
0.158,-0.843,0.802,-0.908,-0.64,1.2738,1,1
1.623,0.158,-0.843,0.802,-0.908,1.3028,1,0
0.172,1.623,0.158,-0.843,0.802,1.3337,1,1
0.433,0.172,1.623,0.158,-0.843,1.0977,0,1
-0.024,0.433,0.172,1.623,0.158,0.48722,1,1
1.126,-0.024,0.433,0.172,1.623,1.375,0,1
-0.327,1.126,-0.024,0.433,0.172,1.3832,0,1
-0.177,-0.327,1.126,-0.024,0.433,1.4417,1,1
0.469,-0.177,-0.327,1.126,-0.024,1.4631,0,1
-0.768,0.469,-0.177,-0.327,1.126,1.2659,1,1
0.735,-0.768,0.469,-0.177,-0.327,1.2189,0,1
-0.853,0.735,-0.768,0.469,-0.177,1.4655,0,1
-0.107,-0.853,0.735,-0.768,0.469,1.444,1,1
1.148,-0.107,-0.853,0.735,-0.768,1.4411,1,1
0.274,1.148,-0.107,-0.853,0.735,1.2231,0,1
-0.568,0.274,1.148,-0.107,-0.853,1.5208,1,1
0.664,-0.568,0.274,1.148,-0.107,1.5479,1,1
0.126,0.664,-0.568,0.274,1.148,1.4417,1,1
1.18,0.126,0.664,-0.568,0.274,1.5799,0,1
-0.048,1.18,0.126,0.664,-0.568,1.6573,1,1
0.393,-0.048,1.18,0.126,0.664,1.2517,1,1
0.282,0.393,-0.048,1.18,0.126,1.1453,0,1
-0.181,0.282,0.393,-0.048,1.18,0.51806,1,1
0.169,-0.181,0.282,0.393,-0.048,0.35607,1,1
1.24,0.169,-0.181,0.282,0.393,1.0588,1,1
0.014,1.24,0.169,-0.181,0.282,1.0126,1,1
0.205,0.014,1.24,0.169,-0.181,1.0275,0,1
-0.309,0.205,0.014,1.24,0.169,1.1532,1,1
1.24,-0.309,0.205,0.014,1.24,1.5782,1,1
0.129,1.24,-0.309,0.205,0.014,1.4945,1,1
0.237,0.129,1.24,-0.309,0.205,1.7049,1,1
0.496,0.237,0.129,1.24,-0.309,1.8684,0,1
-0.889,0.496,0.237,0.129,1.24,1.7207,1,1
0.479,-0.889,0.496,0.237,0.129,1.5102,0,1
-0.533,0.479,-0.889,0.496,0.237,1.5959,1,1
0.829,-0.533,0.479,-0.889,0.496,1.5146,1,1
0.135,0.829,-0.533,0.479,-0.889,1.695,1,1
0.687,0.135,0.829,-0.533,0.479,1.7211,0,1
-0.093,0.687,0.135,0.829,-0.533,1.6982,1,1
0.777,-0.093,0.687,0.135,0.829,1.7576,0,1
-0.321,0.777,-0.093,0.687,0.135,1.6937,0,1
-0.209,-0.321,0.777,-0.093,0.687,1.5612,1,1
1.211,-0.209,-0.321,0.777,-0.093,1.4806,0,1
-0.98,1.211,-0.209,-0.321,0.777,1.6731,0,1
-1.361,-0.98,1.211,-0.209,-0.321,1.842,1,1
0.499,-1.361,-0.98,1.211,-0.209,1.9219,0,1
-0.263,0.499,-1.361,-0.98,1.211,1.635,1,1
0.365,-0.263,0.499,-1.361,-0.98,1.5992,1,1
0.068,0.365,-0.263,0.499,-1.361,1.4769,0,1
-0.837,0.068,0.365,-0.263,0.499,1.6348,1,1
0.184,-0.837,0.068,0.365,-0.263,1.5666,1,1
1.256,0.184,-0.837,0.068,0.365,1.4776,0,0
-0.258,1.256,0.184,-0.837,0.068,1.3035,1,1
0.503,-0.258,1.256,0.184,-0.837,1.4039,1,1
1.067,0.503,-0.258,1.256,0.184,1.6993,0,0
-0.488,1.067,0.503,-0.258,1.256,1.4643,0,1
-0.547,-0.488,1.067,0.503,-0.258,1.3292,1,1
0.976,-0.547,-0.488,1.067,0.503,1.3965,0,1
-0.447,0.976,-0.547,-0.488,1.067,1.3824,0,1
-0.413,-0.447,0.976,-0.547,-0.488,1.5628,0,1
-0.257,-0.413,-0.447,0.976,-0.547,1.4796,0,1
-0.273,-0.257,-0.413,-0.447,0.976,1.3804,0,1
-0.167,-0.273,-0.257,-0.413,-0.447,1.5436,1,1
0.402,-0.167,-0.273,-0.257,-0.413,1.3607,1,1
0.108,0.402,-0.167,-0.273,-0.257,1.3839,1,1
0.003,0.108,0.402,-0.167,-0.273,1.5404,1,1
0.963,0.003,0.108,0.402,-0.167,1.4971,0,1
-0.594,0.963,0.003,0.108,0.402,1.476,1,1
0.168,-0.594,0.963,0.003,0.108,1.3345,1,1
0.334,0.168,-0.594,0.963,0.003,1.2658,1,1
0.172,0.334,0.168,-0.594,0.963,1.3982,0,1
-0.835,0.172,0.334,0.168,-0.594,1.2544,0,1
-0.577,-0.835,0.172,0.334,0.168,1.4994,0,1
-1.463,-0.577,-0.835,0.172,0.334,1.6484,0,1
-1.522,-1.463,-0.577,-0.835,0.172,1.8899,1,1
1.246,-1.522,-1.463,-0.577,-0.835,1.3885,0,1
-1.435,1.246,-1.522,-1.463,-0.577,1.6006,1,1
0.562,-1.435,1.246,-1.522,-1.463,1.5007,1,1
1.175,0.562,-1.435,1.246,-1.522,1.4901,0,0
-0.127,1.175,0.562,-1.435,1.246,1.3692,0,1
-1.117,-0.127,1.175,0.562,-1.435,1.4574,0,1
-1.296,-1.117,-0.127,1.175,0.562,1.4523,0,1
-0.132,-1.296,-1.117,-0.127,1.175,1.4582,0,1
-0.239,-0.132,-1.296,-1.117,-0.127,1.5278,1,1
1.637,-0.239,-0.132,-1.296,-1.117,1.4717,0,0
-0.102,1.637,-0.239,-0.132,-1.296,1.3191,1,1
1.3,-0.102,1.637,-0.239,-0.132,1.4055,1,1
0.404,1.3,-0.102,1.637,-0.239,1.3324,0,1
-0.07,0.404,1.3,-0.102,1.637,1.5607,1,1
0.529,-0.07,0.404,1.3,-0.102,1.5607,1,1
0.851,0.529,-0.07,0.404,1.3,1.6292,1,1
0.767,0.851,0.529,-0.07,0.404,1.4137,0,1
-0.209,0.767,0.851,0.529,-0.07,1.3977,0,1
-0.665,-0.209,0.767,0.851,0.529,1.4588,0,1
-0.106,-0.665,-0.209,0.767,0.851,1.1998,1,1
0.516,-0.106,-0.665,-0.209,0.767,1.1024,0,1
-1.376,0.516,-0.106,-0.665,-0.209,1.4232,0,1
-0.112,-1.376,0.516,-0.106,-0.665,1.5477,1,1
0.059,-0.112,-1.376,0.516,-0.106,1.5687,1,1
0.511,0.059,-0.112,-1.376,0.516,1.4878,1,1
0.107,0.511,0.059,-0.112,-1.376,1.1949,0,1
-1.556,0.107,0.511,0.059,-0.112,1.5085,1,1
0.531,-1.556,0.107,0.511,0.059,1.7381,1,1
1.409,0.531,-1.556,0.107,0.511,1.8267,1,0
0.059,1.409,0.531,-1.556,0.107,1.3961,0,1
-0.445,0.059,1.409,0.531,-1.556,1.2906,1,1
0.227,-0.445,0.059,1.409,0.531,1.518,0,1
-1.379,0.227,-0.445,0.059,1.409,1.8556,0,1
-0.759,-1.379,0.227,-0.445,0.059,1.859,0,1
-0.592,-0.759,-1.379,0.227,-0.445,1.6347,1,1
0.92,-0.592,-0.759,-1.379,0.227,1.5716,1,1
0.184,0.92,-0.592,-0.759,-1.379,1.6621,1,0
0.177,0.184,0.92,-0.592,-0.759,1.469,0,1
-0.672,0.177,0.184,0.92,-0.592,1.5093,0,1
-1.373,-0.672,0.177,0.184,0.92,1.6536,0,1
-1.054,-1.373,-0.672,0.177,0.184,1.9184,1,1
0.766,-1.054,-1.373,-0.672,0.177,1.5338,1,1
0.167,0.766,-1.054,-1.373,-0.672,1.6976,0,0
-0.077,0.167,0.766,-1.054,-1.373,1.4111,0,1
-0.067,-0.077,0.167,0.766,-1.054,1.3359,0,1
-1.059,-0.067,-0.077,0.167,0.766,1.4301,1,1
0.682,-1.059,-0.067,-0.077,0.167,1.353,0,1
-0.257,0.682,-1.059,-0.067,-0.077,1.5486,1,1
0.047,-0.257,0.682,-1.059,-0.067,1.211,1,1
0.401,0.047,-0.257,0.682,-1.059,1.2586,1,1
0.169,0.401,0.047,-0.257,0.682,1.2275,1,1
1.61,0.169,0.401,0.047,-0.257,1.5457,1,0
0.17,1.61,0.169,0.401,0.047,1.3694,1,1
0.569,0.17,1.61,0.169,0.401,1.4475,0,1
-0.054,0.569,0.17,1.61,0.169,1.1726,1,1
0.046,-0.054,0.569,0.17,1.61,1.238,1,1
0.338,0.046,-0.054,0.569,0.17,1.2517,0,1
-0.742,0.338,0.046,-0.054,0.569,1.2324,1,1
0.525,-0.742,0.338,0.046,-0.054,1.1153,1,1
1.596,0.525,-0.742,0.338,0.046,1.2118,1,0
0.154,1.596,0.525,-0.742,0.338,1.1903,0,1
-0.95,0.154,1.596,0.525,-0.742,1.2768,1,1
0.454,-0.95,0.154,1.596,0.525,1.1606,0,1
-0.984,0.454,-0.95,0.154,1.596,1.1794,1,1
0.597,-0.984,0.454,-0.95,0.154,1.3459,1,1
0.137,0.597,-0.984,0.454,-0.95,1.1684,0,1
-0.133,0.137,0.597,-0.984,0.454,1.2967,1,1
0.262,-0.133,0.137,0.597,-0.984,1.5006,0,1
-0.416,0.262,-0.133,0.137,0.597,1.1239,1,1
0.364,-0.416,0.262,-0.133,0.137,1.3823,1,1
0.851,0.364,-0.416,0.262,-0.133,1.4442,0,1
-0.298,0.851,0.364,-0.416,0.262,1.3949,0,1
-0.545,-0.298,0.851,0.364,-0.416,1.8129,0,1
-0.095,-0.545,-0.298,0.851,0.364,1.3546,1,1
0.251,-0.095,-0.545,-0.298,0.851,1.375,1,1
0.408,0.251,-0.095,-0.545,-0.298,1.4738,0,1
-1.043,0.408,0.251,-0.095,-0.545,1.4957,0,1
-0.315,-1.043,0.408,0.251,-0.095,1.085,0,1
-0.815,-0.315,-1.043,0.408,0.251,1.2833,1,1
0.19,-0.815,-0.315,-1.043,0.408,1.3286,0,1
-0.824,0.19,-0.815,-0.315,-1.043,1.4011,1,1
0.334,-0.824,0.19,-0.815,-0.315,1.1863,1,1
0.138,0.334,-0.824,0.19,-0.815,1.1146,1,1
0.071,0.138,0.334,-0.824,0.19,1.1997,0,1
-0.329,0.071,0.138,0.334,-0.824,1.462,0,1
-0.43,-0.329,0.071,0.138,0.334,1.4087,0,1
-0.479,-0.43,-0.329,0.071,0.138,1.4503,0,1
-0.044,-0.479,-0.43,-0.329,0.071,1.3199,1,1
0.706,-0.044,-0.479,-0.43,-0.329,1.4458,0,1
-1.334,0.706,-0.044,-0.479,-0.43,1.6795,1,1
0.271,-1.334,0.706,-0.044,-0.479,1.6808,0,1
-0.97,0.271,-1.334,0.706,-0.044,1.3375,0,1
-0.196,-0.97,0.271,-1.334,0.706,1.4134,1,1
